Net generation for all sectors monthly,,,,,,,,,,,,,,,,,,
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vtvv&geo=0000000000008&sec=g&linechart=ELEC.GEN.ALL-HI-99.M~ELEC.GEN.COW-HI-99.M~ELEC.GEN.PEL-HI-99.M~ELEC.GEN.PC-HI-99.M~ELEC.GEN.NG-HI-99.M~ELEC.GEN.OOG-HI-99.M~ELEC.GEN.NUC-HI-99.M~ELEC.GEN.HYC-HI-99.M~ELEC.GEN.WND-HI-99.M~ELEC.GEN.SUN-HI-99.M~ELEC.GEN.GEO-HI-99.M~ELEC.GEN.BIO-HI-99.M~ELEC.GEN.WWW-HI-99.M~ELEC.GEN.WAS-HI-99.M~ELEC.GEN.HPS-HI-99.M~ELEC.GEN.OTH-HI-99.M~ELEC.GEN.TSN-HI-99.M~ELEC.GEN.DPV-HI-99.M&columnchart=ELEC.GEN.ALL-HI-99.M&map=ELEC.GEN.ALL-HI-99.M&freq=M&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0,,,,,,,,,,,,,,,,
11:13:32 GMT-1000 (Hawaii-Aleutian Standard Time),,,,,,,,,,,,,,,,,,
Data source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,
Month,all fuels (utility-scale) thousand megawatthours,coal thousand megawatthours,petroleum liquids thousand megawatthours,petroleum coke thousand megawatthours,natural gas thousand megawatthours,other gases thousand megawatthours,nuclear thousand megawatthours,conventional hydroelectric thousand megawatthours,wind thousand megawatthours,all utility-scale solar thousand megawatthours,geothermal thousand megawatthours,biomass thousand megawatthours,wood and wood-derived fuels thousand megawatthours,other biomass thousand megawatthours,hydro-electric pumped storage thousand megawatthours,other thousand megawatthours,all solar thousand megawatthours,small-scale solar photovoltaic thousand megawatthours
24-Feb,682.28669,,527.88439,,,0,,,60.28678,42.86455,,,,11.94287,,6.50573,155.58539,112.72084
24-Jan,775.41789,,628.62051,,,0,,,37.39126,38.80856,,,,19.87721,,14.57096,149.71612,110.90756
23-Dec,791.8888,,606.87424,,,0,,,54.34945,40.15599,31.44712,,,34.2911,,14.12206,143.50801,103.35202
23-Nov,804.22972,,626.65621,,,0,,,54.7715,44.26176,33.30432,,,20.09452,,16.43392,148.43548,104.17372
23-Oct,851.6863,,682.75887,,,0,,,30.24685,58.92642,32.65812,,,24.52119,,15.74874,177.00872,118.0823
23-Sep,814.43847,,616.41626,,,0,,,63.51072,63.77719,28.56397,,,19.23221,,14.5909,188.03939,124.2622
23-Aug,829.89378,,628.54465,,,0,,,62.69531,70.18748,25.59704,,,17.97632,,13.70152,206.18526,135.99778
23-Jul,814.27151,,603.05772,,,0,,,73.81751,67.6954,22.66308,,,17.49265,,17.94598,199.93059,132.23519
23-Jun,774.66892,,575.82316,,,0,,,60.35795,66.45073,27.56092,,,18.30913,,15.20732,197.52604,131.07531
23-May,770.83743,,576.3351,,,0,,,57.71111,59.07065,30.20152,,,19.45513,,13.6916,190.99549,131.92484
23-Apr,752.71112,,591.52142,,,0,,,50.41907,49.44064,26.83323,,,16.02153,,8.98506,169.51242,120.07178
23-Mar,780.27034,,624.39303,,,0,,,38.96419,46.69511,26.21574,,,18.24834,,14.36711,161.47865,114.78354
23-Feb,692.04353,,518.12451,,,0,,,65.83015,34.98448,26.59048,,,17.93069,,14.88689,130.03946,95.05498
23-Jan,794.63386,,638.70531,,,0,,,30.06543,41.88042,36.8467,,,20.57339,,16.67786,140.09425,98.21383
22-Dec,783.60836,,640.69338,,,0,,8.64114,46.24206,37.18741,18.90647,20.26701,4.38754,15.87947,,11.6709,130.18773,93.00032
22-Nov,778.59199,0,598.41809,,,0,,6.75063,66.46661,46.50939,17.77177,25.73355,4.22732,21.50623,,16.94195,139.16862,92.65923
22-Oct,858.17942,0,693.65327,,,0,,12.40258,38.69598,54.43763,16.89772,25.02302,3.85797,21.16505,,17.06924,160.58445,106.14682
22-Sep,825.13871,0,662.18976,,,0,,8.16661,46.02417,53.89675,17.03007,20.98376,4.26024,16.72352,,16.8476,167.80681,113.91006
22-Aug,841.47282,83.36776,582.64184,,,0,,7.27932,53.08679,62.07316,17.44069,20.83152,4.65713,16.17439,,14.75173,186.86444,124.79128
22-Jul,798.25348,78.14207,519.17453,,,0,,7.94675,85.69632,48.15734,17.42328,24.65243,4.67389,19.97854,,17.06076,174.72853,126.57119
22-Jun,757.10704,97.00761,476.70972,,,0,,14.30744,58.2697,47.56521,16.79217,26.63674,4.40033,22.23641,,19.81844,172.52384,124.95863
22-May,762.86109,90.71713,501.93011,,,0,,10.51476,56.57036,38.63413,17.42811,20.98304,4.26668,16.71636,,26.08345,163.49841,124.86428
22-Apr,737.90679,80.492,456.54452,,,0,,11.82541,76.35612,42.66746,16.96428,21.93372,4.08818,17.84554,,31.12328,159.36208,116.69462
22-Mar,765.83291,69.7964,531.72869,,,0,,7.6243,41.55376,45.28186,16.76479,23.46709,4.25023,19.21686,,29.61603,156.92102,111.63916
22-Feb,678.68028,86.88283,445.44952,,,0,,7.17737,34.6255,40.93466,15.92606,21.3172,4.11171,17.20549,,26.36714,135.79569,94.86103
22-Jan,749.80087,61.35211,546.04464,,,0,,7.44469,21.83451,37.69801,19.00059,25.23228,4.37378,20.8585,,31.19404,134.24707,96.54906
21-Dec,781.01599,79.69297,532.39063,,,0,,13.18839,67.70613,30.34889,16.84717,24.12067,0,24.12067,,16.72115,117.72409,87.3752
21-Nov,787.32769,100.62554,543.83023,,,0,,7.34662,36.94982,39.38738,15.61624,25.11408,0,25.11408,,18.45778,127.72366,88.33628
21-Oct,795.3138,94.69208,523.10142,,,0,,10.01584,64.93469,44.23222,15.08245,24.37836,0,24.37836,,18.87676,140.73626,96.50404
21-Sep,790.55045,85.01802,527.10343,,,0,,7.82182,64.23551,46.622,15.59287,25.40245,0,25.40245,,18.75435,152.65702,106.03502
21-Aug,827.39353,77.16354,572.54173,,,0,,8.90011,62.87141,48.67129,15.61787,23.16973,0,23.16973,,18.45785,165.29899,116.6277
21-Jul,812.684,107.37837,527.74562,,,0,,8.4813,61.0589,46.98164,15.77575,26.02691,0,26.02691,,19.23551,167.09464,120.113
21-Jun,779.45001,100.78923,517.1922,,,0,,7.57742,52.61833,53.41451,14.7696,20.96524,0,20.96524,,12.12348,172.06542,118.65091
21-May,764.06708,105.16943,507.27642,,,0,,8.73971,50.48016,50.06703,15.20355,18.11571,0,18.11571,,9.01507,169.63545,119.56842
21-Apr,699.09862,88.32248,457.1721,,,0,,9.11045,43.03725,44.08407,14.81766,24.90073,0,24.90073,,17.65387,156.60391,112.51984
21-Mar,729.92187,76.0621,493.05789,,,0,,14.18669,54.11971,35.51294,14.42767,25.10633,0,25.10633,,17.44854,142.81955,107.30661
21-Feb,654.2546,73.99983,451.64833,,,0,,9.35682,43.49611,32.3336,14.75851,18.27783,0,18.27783,,10.38357,120.42006,88.08646
21-Jan,761.11319,95.6415,502.14742,,,0,,10.24585,56.38298,35.57876,15.24167,27.05943,0,27.05943,,18.81558,125.25194,89.67318
20-Dec,781.8088,105.85277,524.96401,,,0,,8.24308,50.26869,36.15864,0.84231,23.84603,0,23.84603,,31.63328,122.95535,86.79671
20-Nov,780.04033,102.10422,519.46421,,,0,,9.4682,59.28613,34.76463,0.84933,23.60152,0,23.60152,,30.5021,120.44205,85.67742
20-Oct,830.18785,108.32264,604.98395,,,0,,5.06565,27.52229,39.7983,0.7763,24.90869,0,24.90869,,18.81003,137.19286,97.39456
20-Sep,760.73665,89.10813,520.25575,,,0,,6.15742,48.96153,50.30719,0.78771,24.45868,0,24.45868,,20.70023,156.37739,106.0702
20-Aug,781.13012,97.93357,521.29806,,,0,,6.2637,57.25705,49.46527,0.82096,20.14012,0,20.14012,,27.95138,164.73173,115.26646
20-Jul,780.38279,101.24369,520.07357,,,0,,7.67813,52.53695,46.40995,0.82197,21.31665,0,21.31665,,30.30189,161.90896,115.49901
20-Jun,736.74939,81.99452,505.82612,,,0,,7.44106,52.80533,47.09969,0.77724,19.98979,0,19.98979,,20.81565,160.45962,113.35993
20-May,712.23777,97.56764,458.46933,,,0,,7.52999,51.14277,49.3091,0.83617,20.36498,0,20.36498,,27.01781,163.27271,113.96361
20-Apr,678.7338,103.81759,438.73629,,,0.00015,,9.50707,40.84045,43.10471,0.84943,18.74946,0,18.74946,,23.12865,149.86634,106.76163
20-Mar,741.27704,109.4342,481.44744,,,0.96248,,12.85076,51.26767,33.55097,0.88658,20.78008,0,20.78008,,30.09686,132.48497,98.934
20-Feb,702.6205,88.96019,481.96124,,,1.17051,,7.64585,51.72141,29.86689,0.72576,15.90782,0,15.90782,,24.66083,116.48308,86.61619
20-Jan,793.11411,78.80754,571.72538,,,0.7409,,10.9691,48.62746,24.19467,0.66624,22.15759,0,22.15759,,35.22522,108.56093,84.36626
19-Dec,827.99208,107.66474,580.59279,,,0.52066,,9.97218,46.46173,24.60273,0,22.41091,0,22.41091,,35.76635,104.29062,79.68789
19-Nov,842.0709,120.42011,586.76859,,,0.57385,,7.8446,44.572,29.89003,0,19.70453,0,19.70453,,32.2972,109.04646,79.15643
19-Oct,887.23053,114.58526,631.53166,,,0.30906,,7.39677,49.01232,29.1295,0,23.24175,0,23.24175,,32.02421,121.62383,92.49433
19-Sep,878.32188,112.30016,626.85001,,,0.3588,,6.0376,43.18677,26.32955,0,25.90938,0,25.90938,,37.34961,123.74494,97.41539
19-Aug,906.25116,126.95245,650.92771,,,0.24516,,8.40573,35.14119,22.74138,0,25.05468,0,25.05468,,36.78286,128.97407,106.23269
19-Jul,858.64979,119.64001,610.51111,,,0.09457,,8.93874,38.94118,23.37331,0,24.71068,0,24.71068,,32.44019,132.62859,109.25528
19-Jun,823.27256,87.49758,608.59359,,,0.42555,,7.73323,39.59254,22.46366,0,23.18289,0,23.18289,,33.78352,122.28539,99.82173
19-May,821.51395,102.90476,581.80978,,,0.815,,8.13366,46.08114,22.40958,0,25.43912,0,25.43912,,33.92091,126.14724,103.73766
19-Apr,748.33482,114.18022,495.72366,,,0.41261,,10.02414,52.23164,21.65924,0,24.37822,0,24.37822,,29.72509,119.58039,97.92115
19-Mar,720.83928,107.23716,478.70683,,,0.70158,,7.45812,46.78455,18.2506,0,29.78921,0,29.78921,,31.91123,110.38073,92.13013
19-Feb,664.41143,94.52008,456.9249,,,0.54154,,5.92318,41.72819,14.0764,0,23.10887,0,23.10887,,27.58827,90.57566,76.49926
19-Jan,771.10971,94.04345,555.22871,,,0.62606,,6.67405,45.57675,13.21216,0,24.61178,0,24.61178,,31.13676,91.31453,78.10237
18-Dec,797.41664,110.16067,542.99702,,,1.6051,,6.51684,52.33204,12.3376,9.76913,26.62064,0,26.62064,,35.07759,86.1431,73.8055
18-Nov,828.19144,99.90416,588.42877,,,4.80203,,6.46755,48.60957,13.01705,9.21046,25.72216,0,25.72216,,32.02969,86.09013,73.07308
18-Oct,894.34795,101.95838,646.41962,,,5.99345,,8.31483,45.65349,15.66161,8.81464,29.40017,0,29.40017,,32.13175,98.56877,82.90716
18-Sep,868.80525,113.47768,621.75328,,,4.79371,,6.32468,39.54109,16.45024,9.15663,24.55849,0,24.55849,,32.74946,105.38018,88.92994
18-Aug,878.07842,123.71038,604.70877,,,5.10391,,8.17734,43.77156,17.60838,9.4122,28.78958,0,28.78958,,36.7963,113.61751,96.00913
18-Jul,852.48285,122.6199,591.57905,,,5.32396,,9.16028,34.73095,17.91503,9.43004,27.42429,0,27.42429,,34.29935,116.67947,98.76444
18-Jun,818.24625,106.32035,553.18595,,,5.92029,,8.33476,55.61819,19.501,8.89766,25.82453,0,25.82453,,34.64354,117.12944,97.62844
18-May,809.3406,81.80571,583.066,,,5.86755,,9.58491,53.04001,17.90098,9.53619,19.28428,0,19.28428,,29.25498,114.30833,96.40735
18-Apr,767.36798,107.84632,506.90657,,,4.67695,,10.69508,59.50351,15.33653,8.24311,27.66782,0,27.66782,,26.49208,105.4818,90.14527
18-Mar,768.27481,116.55092,496.75279,,,4.55289,,10.28618,59.8517,13.5323,9.4762,24.1833,0,24.1833,,33.08853,99.60266,86.07036
18-Feb,723.18422,108.62115,490.90108,,,2.79468,,6.76419,51.4711,11.92778,8.84163,17.84153,0,17.84153,,24.02109,83.09437,71.16659
18-Jan,791.0365,118.22732,522.24829,,,4.2871,,5.89337,57.8108,13.38763,9.30113,28.19578,0,28.19578,,31.68509,87.17967,73.79204
17-Dec,791.95113,116.10977,527.19685,,,4.74819,,6.81544,45.09756,11.4772,27.51372,23.90123,,23.90123,,29.09117,80.38335,68.90615
17-Nov,787.98169,119.05087,520.86333,,,5.29097,,6.62114,46.51702,12.30729,26.46157,21.19831,,21.19831,,29.67119,80.52726,68.21997
17-Oct,875.8654,119.41944,598.39093,,,4.24588,,8.33327,50.57155,15.34684,24.62949,24.08942,,24.08942,,30.83858,93.31325,77.96641
17-Sep,860.59013,126.24942,586.95722,,,4.20921,,3.91344,37.11139,16.14742,27.04234,26.86725,,26.86725,,32.09245,100.74641,84.59899
17-Aug,862.78217,129.69643,585.04143,,,3.83109,,4.46739,27.55169,18.09741,27.65203,30.05107,,30.05107,,36.39362,110.34574,92.24833
17-Jul,840.62191,129.74323,565.65007,,,4.44095,,3.61197,33.51328,17.80868,27.83642,24.53445,,24.53445,,33.48287,111.7278,93.91912
17-Jun,815.01381,112.73778,562.29039,,,4.42852,,4.31757,40.99628,18.52173,25.87899,21.32979,,21.32979,,24.51276,109.59176,91.07003
17-May,821.22347,127.51068,531.42037,,,4.53664,,6.32034,47.68556,18.51341,26.37326,26.37109,,26.37109,,32.49211,110.73565,92.22224
17-Apr,802.15613,107.90026,536.4442,,,3.94951,,5.84552,54.01068,14.46984,27.2828,22.1652,,22.1652,,30.08813,99.14787,84.67803
17-Mar,837.16733,128.39239,555.12269,,,4.52454,,4.11483,55.38699,14.85723,28.16071,24.32514,,24.32514,,22.2828,95.98054,81.12331
17-Feb,717.65367,92.84442,477.87971,,,4.65172,,4.09433,47.86567,9.01842,25.17798,26.74979,,26.74979,,29.37164,75.83008,66.81166
17-Jan,799.96121,66.06928,586.33895,,,3.16512,,7.61976,45.74733,8.45386,28.58271,21.17877,,21.17877,,32.80542,77.78547,69.33161
16-Dec,827.67948,125.56827,559.59138,,,3.51128,,10.77282,40.96461,5.70993,28.676,24.65627,,24.65627,,28.22892,60.317,54.60707
16-Nov,812.41307,127.41189,515.09819,,,3.30734,,9.27383,65.97305,7.12191,25.904,33.64832,,33.64832,,24.67454,61.54494,54.42303
16-Oct,865.86078,126.26553,552.11545,,,3.05447,,12.87114,72.68804,8.13502,26.765,33.70795,,33.70795,,30.25819,70.93932,62.8043
16-Sep,869.28783,121.844,575.12986,,,4.22267,,11.4275,60.17707,9.27471,23.804,32.57882,,32.57882,,30.82921,76.26472,66.99001
16-Aug,919.2995,123.95391,608.34534,,,4.73013,,7.85485,69.06129,9.95376,24.613,39.98328,,39.98328,,30.80395,82.87018,72.91642
16-Jul,885.00124,130.99216,594.17566,,,4.44754,,5.51235,61.55811,10.21974,19.016,30.46877,,30.46877,,28.61093,82.57756,72.35782
16-Jun,817.71185,117.87118,534.74422,,,4.45086,,6.16305,68.79286,7.93379,18.071,31.45322,,31.45322,,28.23167,79.18073,71.24694
16-May,825.34385,127.95322,561.77749,,,3.15653,,4.54639,50.31183,7.98989,16.895,31.64168,,31.64168,,21.07182,79.04562,71.05573
16-Apr,785.04407,118.00718,502.70988,,,4.60254,,6.91946,68.56324,6.47196,18.701,29.72835,,29.72835,,29.34045,72.48931,66.01735
16-Mar,794.71761,129.2062,533.55564,,,4.91102,,5.90268,35.20556,5.76225,21.336,30.08956,,30.08956,,28.7487,67.75107,61.98882
16-Feb,735.78629,121.35043,518.40581,,,5.20816,,4.08031,30.0481,6.62599,16.958,17.27256,,17.27256,,15.83692,60.21365,53.58766
16-Jan,810.69948,126.95555,584.66718,,,5.40348,,5.52463,15.78324,3.31197,19.363,24.23685,,24.23685,,25.45358,55.25714,51.94517
15-Dec,852.80652,119.54591,576.05515,,,4.30158,,14.86138,62.43223,3.86439,20.318,22.3506,,22.3506,,29.07729,51.62639,47.762
15-Nov,873.7154,125.26516,577.21878,,,3.43094,,18.65527,70.96409,4.46903,17.871,25.36973,,25.36973,,30.47142,50.64301,46.17398
15-Oct,904.18602,131.70656,638.59477,,,3.45809,,13.2223,40.08141,4.87739,18.481,25.74104,,25.74104,,28.02348,57.47314,52.59575
15-Sep,920.52008,127.87048,624.67054,,,5.18929,,16.3819,55.11091,5.71314,21.29,30.66567,,30.66567,,33.62816,61.33063,55.61749
15-Aug,971.68471,134.51391,665.52957,,,4.65659,,16.19517,44.57441,6.9038,24.822,41.20123,,41.20123,,33.28804,67.18345,60.27965
15-Jul,920.14885,122.03502,646.73658,,,5.27399,,2.8632,51.1643,4.95713,18.376,34.75785,,34.75785,,33.98478,66.17966,61.22253
15-Jun,823.15116,108.38644,575.3212,,,4.14332,,5.37369,50.11343,4.89491,17.567,26.45087,,26.45087,,30.9003,64.20828,59.31337
15-May,814.65972,87.49483,559.50952,,,3.20141,,15.12517,65.63686,4.72489,18.019,28.74404,,28.74404,,32.204,63.34649,58.6216
15-Apr,801.61764,71.40846,561.25335,,,2.84965,,15.04218,73.83345,4.70691,19.068,24.68265,,24.68265,,28.77299,59.79237,55.08546
15-Mar,779.63817,135.94624,523.84045,,,3.93543,,3.24259,42.43899,4.13502,19.562,20.08993,,20.08993,,26.44751,55.06557,50.93055
15-Feb,726.27566,106.08604,507.56015,,,4.459,,0.11559,37.78374,2.89673,15.95,19.76737,,19.76737,,31.65704,45.49157,42.59484
15-Jan,731.09633,67.1531,566.85972,,,5.2555,,0.09188,18.63818,2.2539,19.016,21.1203,,21.1203,,30.70773,44.51108,42.25718
14-Dec,827.59064,126.75866,553.1621,,,5.30115,,8.97276,44.78055,2.82251,19.808,30.92304,,30.92304,,35.06188,44.64238,41.81987
14-Nov,834.69504,132.01398,552.68553,,,5.54747,,10.95807,50.19764,4.10976,15.437,30.26855,,30.26855,,33.47704,44.77705,40.66729
14-Oct,921.75233,134.63666,632.67835,,,4.91666,,9.68419,53.32457,5.05881,15.211,32.91232,0,32.91232,,33.32978,50.95841,45.8996
14-Sep,912.3733,129.61706,649.76425,,,5.37248,,9.74639,32.68336,5.48071,18.501,27.85292,0,27.85292,,33.35515,54.2707,48.78999
14-Aug,920.44877,132.30413,623.77789,,,6.17888,,7.51681,58.53825,5.54971,12.703,34.91154,0,34.91154,,38.96856,57.98189,52.43218
14-Jul,903.88317,132.93019,579.28693,,,6.23058,,8.15226,73.65626,2.92136,24.69,36.96809,0,36.96809,,39.0475,55.96854,53.04718
14-Jun,835.81704,119.05966,549.85475,,,5.48076,,4.8739,68.26616,3.16345,23.851,31.53322,0,31.53322,,29.73415,54.72277,51.55932
14-May,846.87062,134.26463,575.81534,,,5.7613,,5.2179,35.19081,2.89755,24.565,30.3714,0,30.3714,,32.7867,54.15933,51.26178
14-Apr,798.51834,122.08121,505.66476,,,4.88123,,6.778,74.07406,2.4787,24.338,24.76515,0,24.76515,,33.45725,49.73459,47.25589
